hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Egy nagy kertben,edge jack said ben,4.194999999999999,Egg nudge cart ben,Egy Jack szed ben... ...zzzézzézz... ...vannn... ...zzzézzézzé... ...zzz... ...zzz...,2.6666666666666665,4.6875,1.8333333333333333,egy nagy karkben.,0.3333333333333333,0.1875,0.3333333333333333
Őr űzi az ürgét,a z results,11.493,Ur oozy as ur gate,az reszultz.,0.75,0.8666666666666667,1.1666666666666667,a WUOZI Eszergét.,1.0,0.6666666666666666,1.0833333333333333
Két bögre teát kér,act bow et eh take a a,8.617999999999999,Kate bugger tea odd care,"átbó, erőtékeje!",1.0,0.8333333333333334,1.3333333333333333,"Kék bugger, tiad, kér!",1.0,0.5555555555555556,1.0
A kórus a kocsma előtt áll,co push call mm l a a a a,14.013,A chorus a coach ma Elliot all,kopuskolva,1.0,0.7692307692307693,0.8888888888888888,"A csóra szakócs, mély Elliott all.",0.8333333333333334,0.6538461538461539,1.0555555555555556
Szép zöld fű,spurs old for a,4.42,Safe zold foo,Spurs Old 4,1.0,0.6666666666666666,1.3333333333333333,SZÉP SZOLG FÚ!,0.6666666666666666,0.4166666666666667,0.8888888888888888
Sütőtökből sütit süt,shit toe blush to it shit,8.677,Shoot or two bore shoot it shoot,"Sittó blastó, egy sitt!",1.3333333333333333,0.8,1.1666666666666667,shoot or to bore shoot it shoot.,2.333333333333333,1.0,1.2777777777777777
Hidd el itt írok,he l e york,5.04,Heed ill it ee rock,Hili Jork,1.0,0.625,0.6363636363636364,Hidd illet i rak!,0.75,0.5,0.7272727272727273
Vár a víz,survive is,6.448,Var a vise,SZURVIVIS!,1.0,1.0,1.5714285714285714,Vár a váz!,0.3333333333333333,0.2222222222222222,0.2857142857142857
Füstöl a fűrész,fish toll a officer,8.302,Foo stool a fur ray sss,Fischtola officer.,1.0,0.8,1.25,Fúsz túl a ferejesz... túl a ferejfesz...,2.0,2.0,2.0
Gyúl a Gyertya,jail jeff each a,6.493,Yule uh gear tee ah,"JL Jeffi, csá!",1.0,1.0,1.4444444444444444,Jó létretés!,1.0,0.8571428571428571,1.6666666666666667
Ég a lámpa,a lamp a,6.735000000000001,Egg a lamp ah,a lámp.,0.6666666666666666,0.4,0.375,EGGALÁMPA!,1.0,0.4,0.5
Csőből csöpög,believe oh po a,7.823,Chor boo chore pugg,BELÍVÓ PÓ!,1.0,0.7692307692307693,1.2,Csorbú csorpag!,1.0,0.6153846153846154,1.1
Kő őrzi őzt,because east,5.72,Cur uerzy urzt,mert az összes...,1.0,1.3636363636363635,1.6666666666666667,Körgyőrző őrst!,1.0,0.7272727272727273,1.0
