hu_ngram,n,en_word,en_pron,cost,count
bit,1,bit,b ɪ t,0.24,5
bosz,1,boss',b ɔ s,0.24,5
him,1,him,h ɪ m,0.24,5
jet,1,yet,j ɛ t,0.24,5
kil,1,kill,k ɪ l,0.24,5
pin,1,pin,p ɪ n,0.24,5
szik,1,sick,s ɪ k,0.24,5
tip,1,tip,t ɪ p,0.24,5
bin,1,been,b ɪ n,0.24,4
dik,1,dick,d ɪ k,0.24,4
dis,1,dish,d ɪ ʃ,0.24,4
pisz,1,piss,p ɪ s,0.24,4
tot,1,taught,t ɔ t,0.24,4
bus,1,bush,b ʊ ʃ,0.24,3
fit,1,fit,f ɪ t,0.24,3
hip,1,hip,h ɪ p,0.24,3
jesz,1,yes,j ɛ s,0.24,3
lit,1,lit,l ɪ t,0.24,3
luk,1,look,l ʊ k,0.24,3
nik,1,nick,n ɪ k,0.24,3
pik,1,pick,p ɪ k,0.24,3
pul,1,pull,p ʊ l,0.24,3
put,1,put,p ʊ t,0.24,3
bed,1,bed,b ɛ d,0.24,2
ded,1,dead,d ɛ d,0.24,2
egsz,1,x,ɛ k s,0.24,2
fot,1,fought,f ɔ t,0.24,2
hed,1,head,h ɛ d,0.24,2
hil,1,hill,h ɪ l,0.24,2
ink,1,inc,ɪ ŋ k,0.24,2
kuk,1,cook,k ʊ k,0.24,2
lip,1,lip,l ɪ p,0.24,2
mesz,1,mess,m ɛ s,0.24,2
mid,1,mid,m ɪ d,0.24,2
pit,1,pit,p ɪ t,0.24,2
did,1,did,d ɪ d,0.24,1
fis,1,fish,f ɪ ʃ,0.24,1
fol,1,fall,f ɔ l,0.24,1
jol,1,y'all,j ɔ l,0.24,1
kisz,1,kiss,k ɪ s,0.24,1
kit,1,kit,k ɪ t,0.24,1
led,1,lead,l ɛ d,0.24,1
lol,1,lol,l ɔ l,0.24,1
sip,1,ship,ʃ ɪ p,0.24,1
sit,1,shit,ʃ ɪ t,0.24,1
szez,1,says,s ɛ z,0.24,1
ted,1,ted,t ɛ d,0.24,1
tuk,1,took,t ʊ k,0.24,1
ön,1,own,oʊ n,0.26,122
ök,1,oak,oʊ k,0.26,105
tö,1,toe,t oʊ,0.26,28
kö,1,co,k oʊ,0.26,1
nö,1,no,n oʊ,0.26,1
szö,1,so,s oʊ,0.26,1
tul,1,tool,t u l,0.29,62
mun,1,moon,m u n,0.29,25
din,1,dean,d i n,0.29,23
kul,1,cool,k u l,0.29,21
szim,1,seem,s i m,0.29,20
lik,1,leak,l i k,0.29,13
lin,1,lean,l i n,0.29,13
szil,1,seal,s i l,0.29,13
hid,1,he'd,h i d,0.29,11
kin,1,keen,k i n,0.29,10
bum,1,boom,b u m,0.29,7
mit,1,meet,m i t,0.29,7
szisz,1,cease,s i s,0.29,7
hum,1,whom,h u m,0.29,5
fiz,1,fees,f i z,0.29,4
liv,1,leave,l i v,0.29,4
lusz,1,loose,l u s,0.29,4
kip,1,keep,k i p,0.29,3
blu,1,blue,b l u,0.29,2
but,1,boot,b u t,0.29,2
kiz,1,keys,k i z,0.29,2
tun,1,tune,t u n,0.29,2
dil,1,deal,d i l,0.29,1
duk,1,duke,d u k,0.29,1
fid,1,feed,f i d,0.29,1
flu,1,flew,f l u,0.29,1
huz,1,whose,h u z,0.29,1
jul,1,you'll,j u l,0.29,1
juv,1,you've,j u v,0.29,1
lisz,1,lease,l i s,0.29,1
niz,1,knees,n i z,0.29,1
sid,1,she'd,ʃ i d,0.29,1
suz,1,shoes,ʃ u z,0.29,1
syd,1,she'd,ʃ i d,0.29,1
szun,1,soon,s u n,0.29,1
köt,1,coat,k oʊ t,0.307,63
köl,1,coal,k oʊ l,0.307,37
növ,1,nov,n oʊ v,0.307,21
gyök,1,joke,dʒ oʊ k,0.307,13
köd,1,code,k oʊ d,0.307,13
sön,1,shown,ʃ oʊ n,0.307,5
böl,1,bowl,b oʊ l,0.307,3
bön,1,bone,b oʊ n,0.307,2
töl,1,toll,t oʊ l,0.307,2
öld,1,old,oʊ l d,0.307,2
gyön,1,joan,dʒ oʊ n,0.307,1
ment,1,meant,m ɛ n t,0.32,48
kent,1,kent,k ɛ n t,0.32,21
szent,1,sent,s ɛ n t,0.32,20
szex,1,sex,s ɛ k s,0.32,7
folt,1,fault,f ɔ l t,0.32,6
klip,1,clip,k l ɪ p,0.32,6
link,1,link,l ɪ ŋ k,0.32,6
tent,1,tent,t ɛ n t,0.32,4
lift,1,lift,l ɪ f t,0.32,3
lux,1,looks,l ʊ k s,0.32,3
fix,1,fix,f ɪ k s,0.32,2
mix,1,mix,m ɪ k s,0.32,2
self,1,shelf,ʃ ɛ l f,0.32,2
tox,1,talks,t ɔ k s,0.32,2
bux,1,books,b ʊ k s,0.32,1
flip,1,flip,f l ɪ p,0.32,1
klik,1,click,k l ɪ k,0.32,1
left,1,left,l ɛ f t,0.32,1
milk,1,milk,m ɪ l k,0.32,1
sztem,1,stem,s t ɛ m,0.32,1
tend,1,tend,t ɛ n d,0.32,1
klin,1,clean,k l i n,0.357,5
föld,1,fold,f oʊ l d,0.37,74
dönt,1,don't,d oʊ n t,0.37,67
t,1,to,t u,0.76,4093
i,1,in,ɪ n,0.76,2263
k,1,co,k oʊ,0.76,1162
e,1,'s,ɛ s,0.76,1055
s,1,she,ʃ i,0.76,582
n,1,no,n oʊ,0.76,388
z,1,z,z i,0.76,180
d,1,do,d u,0.76,143
elő,1,l,ɛ l,0.76,119
eni,1,n,ɛ n,0.76,112
idő,1,id,ɪ d,0.76,103
sor,1,shaw,ʃ ɔ,0.76,95
m,1,my,m aɪ,0.76,92
elm,1,l,ɛ l,0.76,86
sz,1,so,s oʊ,0.76,86
szol,1,saw,s ɔ,0.76,74
j,1,you,j u,0.76,67
lom,1,law,l ɔ,0.76,53
old,1,all,ɔ l,0.76,50
szor,1,saw,s ɔ,0.76,36
szok,1,saw,s ɔ,0.76,34
elv,1,l,ɛ l,0.76,29
eszt,1,'s,ɛ s,0.76,29
ide,1,id,ɪ d,0.76,27
sok,1,shaw,ʃ ɔ,0.76,27
ens,1,n,ɛ n,0.76,20
int,1,in,ɪ n,0.76,20
lop,1,law,l ɔ,0.76,18
szony,1,saw,s ɔ,0.76,18
szom,1,saw,s ɔ,0.76,17
lov,1,law,l ɔ,0.76,13
elé,1,l,ɛ l,0.76,12
ent,1,n,ɛ n,0.76,12
ina,1,in,ɪ n,0.76,12
ine,1,in,ɪ n,0.76,12
ele,1,l,ɛ l,0.76,11
olt,1,all,ɔ l,0.76,10
ene,1,n,ɛ n,0.76,9
log,1,law,l ɔ,0.76,8
ifj,1,if,ɪ f,0.76,7
imá,1,im,ɪ m,0.76,7
lok,1,law,l ɔ,0.76,7
sol,1,shaw,ʃ ɔ,0.76,7
lon,1,law,l ɔ,0.76,6
som,1,shaw,ʃ ɔ,0.76,6
szof,1,saw,s ɔ,0.76,6
gy,1,g,dʒ i,0.76,5
ida,1,id,ɪ d,0.76,5
ita,1,it,ɪ t,0.76,5
izm,1,is,ɪ z,0.76,5
szob,1,saw,s ɔ,0.76,5
ela,1,l,ɛ l,0.76,4
eld,1,l,ɛ l,0.76,4
ini,1,in,ɪ n,0.76,4
lott,1,law,l ɔ,0.76,4
sony,1,shaw,ʃ ɔ,0.76,4
szop,1,saw,s ɔ,0.76,4
szov,1,saw,s ɔ,0.76,4
elt,1,l,ɛ l,0.76,3
emő,1,m,ɛ m,0.76,3
ile,1,ill,ɪ l,0.76,3
lor,1,law,l ɔ,0.76,3
o',1,all,ɔ l,0.76,3
soly,1,shaw,ʃ ɔ,0.76,3
eda,1,ed,ɛ d,0.76,2
eli,1,l,ɛ l,0.76,2
els,1,l,ɛ l,0.76,2
ema,1,m,ɛ m,0.76,2
eme,1,m,ɛ m,0.76,2
emi,1,m,ɛ m,0.76,2
enc,1,n,ɛ n,0.76,2
encs,1,n,ɛ n,0.76,2
ends,1,n,ɛ n,0.76,2
eszi,1,'s,ɛ s,0.76,2
eth,1,et,ɛ t,0.76,2
eti,1,et,ɛ t,0.76,2
eto,1,et,ɛ t,0.76,2
inc,1,in,ɪ n,0.76,2
inó,1,in,ɪ n,0.76,2
ite,1,it,ɪ t,0.76,2
iti,1,it,ɪ t,0.76,2
itá,1,it,ɪ t,0.76,2
l,1,law,l ɔ,0.76,2
lot,1,law,l ɔ,0.76,2
lou,1,law,l ɔ,0.76,2
low,1,law,l ɔ,0.76,2
o,1,all,ɔ l,0.76,2
ola,1,all,ɔ l,0.76,2
olcs,1,all,ɔ l,0.76,2
ole,1,all,ɔ l,0.76,2
ota,1,ought,ɔ t,0.76,2
sokk,1,shaw,ʃ ɔ,0.76,2
sop,1,shaw,ʃ ɔ,0.76,2
b,1,be,b i,0.76,1
e.,1,'s,ɛ s,0.76,1
e.l.d,1,l,ɛ l,0.76,1
ede,1,ed,ɛ d,0.76,1
edm,1,ed,ɛ d,0.76,1
edo,1,ed,ɛ d,0.76,1
edu,1,ed,ɛ d,0.76,1
efi,1,f,ɛ f,0.76,1
elf,1,l,ɛ l,0.76,1
elo,1,l,ɛ l,0.76,1
emg,1,m,ɛ m,0.76,1
eml,1,m,ɛ m,0.76,1
ems,1,m,ɛ m,0.76,1
emy,1,m,ɛ m,0.76,1
ensz,1,n,ɛ n,0.76,1
ents,1,n,ɛ n,0.76,1
ené,1,n,ɛ n,0.76,1
eszk,1,'s,ɛ s,0.76,1
eta,1,et,ɛ t,0.76,1
f,1,fee,f i,0.76,1
h,1,he,h i,0.76,1
ido,1,id,ɪ d,0.76,1
idá,1,id,ɪ d,0.76,1
idõ,1,id,ɪ d,0.76,1
ifa,1,if,ɪ f,0.76,1
ifi,1,if,ɪ f,0.76,1
ify,1,if,ɪ f,0.76,1
il's,1,ill,ɪ l,0.76,1
ila,1,ill,ɪ l,0.76,1
ils,1,ill,ɪ l,0.76,1
ima,1,im,ɪ m,0.76,1
imi,1,im,ɪ m,0.76,1
imo,1,im,ɪ m,0.76,1
incs,1,in,ɪ n,0.76,1
ind,1,in,ɪ n,0.76,1
it's,1,it,ɪ t,0.76,1
itf,1,it,ɪ t,0.76,1
ith,1,it,ɪ t,0.76,1
ito,1,it,ɪ t,0.76,1
itu,1,it,ɪ t,0.76,1
izg,1,is,ɪ z,0.76,1
izu,1,is,ɪ z,0.76,1
izé,1,is,ɪ z,0.76,1
lob,1,law,l ɔ,0.76,1
loch,1,law,l ɔ,0.76,1
loj,1,law,l ɔ,0.76,1
loo,1,law,l ɔ,0.76,1
los,1,law,l ɔ,0.76,1
oft,1,off,ɔ f,0.76,1
oth,1,ought,ɔ t,0.76,1
otp,1,ought,ɔ t,0.76,1
p,1,per,p ɝ,0.76,1
q,1,co,k oʊ,0.76,1
s.o.s,1,shaw,ʃ ɔ,0.76,1
sof,1,shaw,ʃ ɔ,0.76,1
soh,1,shaw,ʃ ɔ,0.76,1
sonny,1,shaw,ʃ ɔ,0.76,1
soo,1,shaw,ʃ ɔ,0.76,1
sos,1,shaw,ʃ ɔ,0.76,1
sot,1,shaw,ʃ ɔ,0.76,1
sov,1,shaw,ʃ ɔ,0.76,1
szonny,1,saw,s ɔ,0.76,1
v,1,v,v i,0.76,1
tud,1,to,t u,0.835,151
juk,1,you,j u,0.835,112
biz,1,be,b i,0.835,91
kis,1,key,k i,0.835,71
jut,1,you,j u,0.835,57
tisz,1,t,t i,0.835,44
vis,1,v,v i,0.835,41
vizs,1,v,v i,0.835,37
hiv,1,he,h i,0.835,36
visz,1,v,v i,0.835,36
vil,1,v,v i,0.835,32
figy,1,fee,f i,0.835,29
tus,1,to,t u,0.835,29
tiv,1,t,t i,0.835,26
tiz,1,t,t i,0.835,26
tik,1,t,t i,0.835,25
bir,1,be,b i,0.835,20
gyil,1,g,dʒ i,0.835,20
dul,1,do,d u,0.835,17
tum,1,to,t u,0.835,17
fin,1,fee,f i,0.835,16
viz,1,v,v i,0.835,16
hisz,1,he,h i,0.835,15
tur,1,to,t u,0.835,15
mis,1,me,m i,0.835,14
vit,1,v,v i,0.835,14
kiv,1,key,k i,0.835,13
vin,1,v,v i,0.835,13
dig,1,d,d i,0.835,11
szus,1,sue,s u,0.835,11
tit,1,t,t i,0.835,11
hun,1,who,h u,0.835,10
husz,1,who,h u,0.835,10
sik,1,she,ʃ i,0.835,10
dim,1,d,d i,0.835,9
dun,1,do,d u,0.835,9
mic,1,me,m i,0.835,9
sziv,1,see,s i,0.835,9
zuk,1,zoo,z u,0.835,9
dug,1,do,d u,0.835,8
hin,1,he,h i,0.835,8
hull,1,who,h u,0.835,8
kur,1,coup,k u,0.835,8
lig,1,lee,l i,0.835,8
sin,1,she,ʃ i,0.835,8
szig,1,see,s i,0.835,8
hig,1,he,h i,0.835,7
kun,1,coup,k u,0.835,7
lib,1,lee,l i,0.835,7
lyuk,1,you,j u,0.835,7
mily,1,me,m i,0.835,7
nin,1,knee,n i,0.835,7
vid,1,v,v i,0.835,7
win,1,v,v i,0.835,7
jus,1,you,j u,0.835,6
kir,1,key,k i,0.835,6
lim,1,lee,l i,0.835,6
sim,1,she,ʃ i,0.835,6
szur,1,sue,s u,0.835,6
vir,1,v,v i,0.835,6
bic,1,be,b i,0.835,5
dics,1,d,d i,0.835,5
hul,1,who,h u,0.835,5
kics,1,key,k i,0.835,5
lis,1,lee,l i,0.835,5
mig,1,me,m i,0.835,5
pic,1,p,p i,0.835,5
pir,1,p,p i,0.835,5
sul,1,shoe,ʃ u,0.835,5
tipp,1,t,t i,0.835,5
tusz,1,to,t u,0.835,5
vik,1,v,v i,0.835,5
wil,1,v,v i,0.835,5
fig,1,fee,f i,0.835,4
fir,1,fee,f i,0.835,4
ive,1,eve,i v,0.835,4
kusz,1,coup,k u,0.835,4
mir,1,me,m i,0.835,4
nic,1,knee,n i,0.835,4
siv,1,she,ʃ i,0.835,4
sun,1,shoe,ʃ u,0.835,4
sup,1,shoe,ʃ u,0.835,4
szul,1,sue,s u,0.835,4
tis,1,t,t i,0.835,4
tug,1,to,t u,0.835,4
vic,1,v,v i,0.835,4
vigy,1,v,v i,0.835,4
viv,1,v,v i,0.835,4
zul,1,zoo,z u,0.835,4
bik,1,be,b i,0.835,3
his,1,he,h i,0.835,3
huny,1,who,h u,0.835,3
juh,1,you,j u,0.835,3
jun,1,you,j u,0.835,3
juss,1,you,j u,0.835,3
nusz,1,new,n u,0.835,3
sic,1,she,ʃ i,0.835,3
sisz,1,she,ʃ i,0.835,3
sub,1,shoe,ʃ u,0.835,3
sur,1,shoe,ʃ u,0.835,3
szic,1,see,s i,0.835,3
szis,1,see,s i,0.835,3
tic,1,t,t i,0.835,3
vissz,1,v,v i,0.835,3
wik,1,v,v i,0.835,3
zit,1,z,z i,0.835,3
zum,1,zoo,z u,0.835,3
bib,1,be,b i,0.835,2
bis,1,be,b i,0.835,2
bisz,1,be,b i,0.835,2
dir,1,d,d i,0.835,2
disz,1,d,d i,0.835,2
div,1,d,d i,0.835,2
dum,1,do,d u,0.835,2
dus,1,do,d u,0.835,2
fic,1,fee,f i,0.835,2
finn,1,fee,f i,0.835,2
hipp,1,he,h i,0.835,2
hub,1,who,h u,0.835,2
jim,1,ye,j i,0.835,2
jub,1,you,j u,0.835,2
jug,1,you,j u,0.835,2
kib,1,key,k i,0.835,2
kif,1,key,k i,0.835,2
kitt,1,key,k i,0.835,2
kum,1,coup,k u,0.835,2
lic,1,lee,l i,0.835,2
lil,1,lee,l i,0.835,2
mih,1,me,m i,0.835,2
nif,1,knee,n i,0.835,2
nig,1,knee,n i,0.835,2
null,1,new,n u,0.835,2
nus,1,new,n u,0.835,2
sis,1,she,ʃ i,0.835,2
sum,1,shoe,ʃ u,0.835,2
szib,1,see,s i,0.835,2
szum,1,sue,s u,0.835,2
tif,1,t,t i,0.835,2
tig,1,t,t i,0.835,2
tiny,1,t,t i,0.835,2
viss,1,v,v i,0.835,2
zug,1,zoo,z u,0.835,2
zus,1,zoo,z u,0.835,2
big,1,be,b i,0.835,1
bill,1,be,b i,0.835,1
billy,1,be,b i,0.835,1
bip,1,be,b i,0.835,1
bye,1,be,b i,0.835,1
dic,1,d,d i,0.835,1
diff,1,d,d i,0.835,1
diy,1,d,d i,0.835,1
dizs,1,d,d i,0.835,1
dub,1,do,d u,0.835,1
due,1,do,d u,0.835,1
dunn,1,do,d u,0.835,1
duo,1,do,d u,0.835,1
duty,1,do,d u,0.835,1
duz,1,do,d u,0.835,1
duó,1,do,d u,0.835,1
fip,1,fee,f i,0.835,1
fitt,1,fee,f i,0.835,1
fitz,1,fee,f i,0.835,1
hic,1,he,h i,0.835,1
hics,1,he,h i,0.835,1
hill,1,he,h i,0.835,1
hir,1,he,h i,0.835,1
hiss,1,he,h i,0.835,1
hua,1,who,h u,0.835,1
huf,1,who,h u,0.835,1
huh,1,who,h u,0.835,1
hup,1,who,h u,0.835,1
hur,1,who,h u,0.835,1
hus,1,who,h u,0.835,1
i've,1,eve,i v,0.835,1
ivi,1,eve,i v,0.835,1
ivo,1,eve,i v,0.835,1
ivy,1,eve,i v,0.835,1
jill,1,ye,j i,0.835,1
jin,1,ye,j i,0.835,1
judd,1,you,j u,0.835,1
juj,1,you,j u,0.835,1
july,1,you,j u,0.835,1
jup,1,you,j u,0.835,1
jur,1,you,j u,0.835,1
kij,1,key,k i,0.835,1
kill,1,key,k i,0.835,1
kinn,1,key,k i,0.835,1
kiss,1,key,k i,0.835,1
kitty,1,key,k i,0.835,1
kub,1,coup,k u,0.835,1
kup,1,coup,k u,0.835,1
kut,1,coup,k u,0.835,1
lilly,1,lee,l i,0.835,1
lily,1,lee,l i,0.835,1
mics,1,me,m i,0.835,1
mif,1,me,m i,0.835,1
mill,1,me,m i,0.835,1
miss,1,me,m i,0.835,1
miv,1,me,m i,0.835,1
nib,1,knee,n i,0.835,1
nis,1,knee,n i,0.835,1
niss,1,knee,n i,0.835,1
nisz,1,knee,n i,0.835,1
nit,1,knee,n i,0.835,1
niv,1,knee,n i,0.835,1
nuc,1,new,n u,0.835,1
nug,1,new,n u,0.835,1
nuk,1,new,n u,0.835,1
num,1,new,n u,0.835,1
pikk,1,p,p i,0.835,1
pip,1,p,p i,0.835,1
pis,1,p,p i,0.835,1
pitt,1,p,p i,0.835,1
qua,1,coup,k u,0.835,1
que,1,coup,k u,0.835,1
quo,1,coup,k u,0.835,1
sib,1,she,ʃ i,0.835,1
sir,1,she,ʃ i,0.835,1
sity,1,she,ʃ i,0.835,1
such,1,shoe,ʃ u,0.835,1
sue,1,shoe,ʃ u,0.835,1
sunny,1,shoe,ʃ u,0.835,1
sus,1,shoe,ʃ u,0.835,1
suv,1,shoe,ʃ u,0.835,1
szif,1,see,s i,0.835,1
szij,1,see,s i,0.835,1
szir,1,see,s i,0.835,1
szub,1,sue,s u,0.835,1
szusz,1,sue,s u,0.835,1
szuv,1,sue,s u,0.835,1
tih,1,t,t i,0.835,1
till,1,t,t i,0.835,1
tup,1,to,t u,0.835,1
tut,1,to,t u,0.835,1
vii,1,v,v i,0.835,1
ek,1,x,ɛ k s,0.84,1523
be,1,bed,b ɛ d,0.84,612
le,1,let,l ɛ t,0.84,347
je,1,yet,j ɛ t,0.84,143
te,1,tell,t ɛ l,0.84,119
film,1,fill,f ɪ l,0.84,47
ne,1,net,n ɛ t,0.84,40
leszt,1,less,l ɛ s,0.84,38
se,1,shell,ʃ ɛ l,0.84,33
szint,1,sin,s ɪ n,0.84,31
bele,1,bell,b ɛ l,0.84,27
beli,1,bell,b ɛ l,0.84,26
jo,1,y'all,j ɔ l,0.84,24
fotó,1,fought,f ɔ t,0.84,23
endő,1,end,ɛ n d,0.84,21
minő,1,min,m ɪ n,0.84,21
jeszt,1,yes,j ɛ s,0.84,20
bolt,1,ball,b ɔ l,0.84,18
fele,1,fell,f ɛ l,0.84,16
tilt,1,till,t ɪ l,0.84,16
felé,1,fell,f ɛ l,0.84,14
do,1,dog,d ɔ g,0.84,13
hold,1,hall,h ɔ l,0.84,13
ko,1,call,k ɔ l,0.84,13
kilo,1,kill,k ɪ l,0.84,12
ho,1,hall,h ɔ l,0.84,11
holt,1,hall,h ɔ l,0.84,11
to,1,talk,t ɔ k,0.84,11
me,1,men,m ɛ n,0.84,10
betű,1,bet,b ɛ t,0.84,9
buli,1,bull,b ʊ l,0.84,9
tina,1,tin,t ɪ n,0.84,9
bo,1,ball,b ɔ l,0.84,8
he,1,head,h ɛ d,0.84,8
tele,1,tell,t ɛ l,0.84,8
vonz,1,von,v ɔ n,0.84,8
ke,1,ken,k ɛ n,0.84,7
meszt,1,mess,m ɛ s,0.84,7
pe,1,pet,p ɛ t,0.84,7
sze,1,said,s ɛ d,0.84,7
de,1,death,d ɛ θ,0.84,6
gye,1,jeff,dʒ ɛ f,0.84,6
mo,1,mall,m ɔ l,0.84,6
belé,1,bell,b ɛ l,0.84,5
fe,1,fell,f ɛ l,0.84,5
king,1,king,k ɪ ŋ,0.84,5
minc,1,min,m ɪ n,0.84,5
szitu,1,sit,s ɪ t,0.84,5
tens,1,ten,t ɛ n,0.84,5
tex,1,tech,t ɛ k,0.84,5
voná,1,von,v ɔ n,0.84,5
delm,1,del,d ɛ l,0.84,4
exu,1,x,ɛ k s,0.84,4
kiló,1,kill,k ɪ l,0.84,4
mind,1,min,m ɪ n,0.84,4
mint,1,min,m ɪ n,0.84,4
tine,1,tin,t ɪ n,0.84,4
wo,1,von,v ɔ n,0.84,4
fo,1,fall,f ɔ l,0.84,3
kong,1,kong,k ɔ ŋ,0.84,3
mine,1,min,m ɪ n,0.84,3
pete,1,pet,p ɛ t,0.84,3
po,1,paul,p ɔ l,0.84,3
pult,1,pull,p ʊ l,0.84,3
telk,1,tell,t ɛ l,0.84,3
tint,1,tin,t ɪ n,0.84,3
beni,1,ben,b ɛ n,0.84,2
bent,1,ben,b ɛ n,0.84,2
benz,1,ben,b ɛ n,0.84,2
beth,1,bet,b ɛ t,0.84,2
bu,1,book,b ʊ k,0.84,2
dens,1,den,d ɛ n,0.84,2
dent,1,den,d ɛ n,0.84,2
inká,1,inc,ɪ ŋ k,0.84,2
kolc,1,call,k ɔ l,0.84,2
mend,1,men,m ɛ n,0.84,2
menü,1,men,m ɛ n,0.84,2
mini,1,min,m ɪ n,0.84,2
piszk,1,piss,p ɪ s,0.84,2
poli,1,paul,p ɔ l,0.84,2
site,1,shit,ʃ ɪ t,0.84,2
sons,1,sean,ʃ ɔ n,0.84,2
szita,1,sit,s ɪ t,0.84,2
teli,1,tell,t ɛ l,0.84,2
time,1,tim,t ɪ m,0.84,2
tini,1,tin,t ɪ n,0.84,2
tino,1,tin,t ɪ n,0.84,2
tokl,1,talk,t ɔ k,0.84,2
bedő,1,bed,b ɛ d,0.84,1
bela,1,bell,b ɛ l,0.84,1
bene,1,ben,b ɛ n,0.84,1
bené,1,ben,b ɛ n,0.84,1
beta,1,bet,b ɛ t,0.84,1
bili,1,bill,b ɪ l,0.84,1
bills,1,bill,b ɪ l,0.84,1
bins,1,been,b ɪ n,0.84,1
bita,1,bit,b ɪ t,0.84,1
bl,1,blue,b l u,0.84,1
buki,1,book,b ʊ k,0.84,1
bush,1,bush,b ʊ ʃ,0.84,1
deka,1,deck,d ɛ k,0.84,1
dela,1,del,d ɛ l,0.84,1
deli,1,del,d ɛ l,0.84,1
dex,1,deck,d ɛ k,0.84,1
dida,1,did,d ɪ d,0.84,1
