hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Hány nyár,he a a a a a,8.92,High near,JÁÁÁ!,1.0,0.7777777777777778,1.0,Hajnér A feliratot készítette Amara.org közösségű időnk.,3.5,5.777777777777778,7.833333333333333
Tyúk és csibe,check she ebay eh,4.885000000000001,Took H and she bear,Csökszibéjé!,1.0,0.9230769230769231,1.3333333333333333,"Tök, hánysí bér.",1.0,0.9230769230769231,1.5555555555555556
Dzsinn ül a dzsámi előtt,e will a me l a a,10.76,Gin ool a jammy a lot,Én véleményeket látom.,1.0,0.875,1.7142857142857142,Csindul a csemi a lat.,1.0,0.5,1.2142857142857142
Sárban szárad,she bounce don't,9.209,Shar bun sorrowed,She bounced on it.,2.0,1.0769230769230769,1.5454545454545454,Csarbanszarod,1.0,0.38461538461538464,0.7272727272727273
Zsákban a zsemle,between m let,9.16,Shock bun a sham lay,betweenomlet.,1.0,0.875,1.1666666666666667,SAKBAN ASSÁM LEJ,1.0,0.4375,0.75
Egy nagy kertben,edge jack said ben,4.157500000000001,Edge nodge care bun,K英 ezs jack szed Ben.,1.6666666666666667,0.8125,0.8333333333333334,egy nagy kérben.,0.3333333333333333,0.1875,0.25
Őr űzi az ürgét,a z results,11.4665,Her ooh zee as urge gate,az rezultatokra.,0.75,0.8666666666666667,1.5,Hargu ZS Erzs Gate,1.0,0.8666666666666667,1.4166666666666667
Két bögre teát kér,act bow et eh take a a,8.529,Kate bough gray tea odd care,"Ák, boet, tégye!",1.0,0.7777777777777778,0.8666666666666667,Kékbó Gré-Tiad Kér,0.75,0.5,0.8666666666666667
A kórus a kocsma előtt áll,co push call mm l a a a a,13.9865,A chorus a koshma a lot all,kopuskolulálóbá,1.0,0.7307692307692307,1.0555555555555556,Egy csóra száll kásmál a lát al.,1.1666666666666667,0.8076923076923077,1.2777777777777777
Szép zöld fű,spurs old for a,4.37,Say p's old foo,Spurs Old Four,1.0,0.75,1.4444444444444444,Szép isteni fú!,0.6666666666666666,0.6666666666666666,1.3333333333333333
Sütőtökből sütit süt,shit toe published it shit,9.1665,Such hot oak ball shoot eat shoot,Csittó publisztit süt.,1.0,0.55,1.0,Such hot oak balls shoot each shoot.,2.3333333333333335,1.25,1.5
Hidd el itt írok,he l e york,5.04,Heed el eat ear oak,Hili York,1.0,0.625,0.6363636363636364,J二 l e último,1.0,0.6875,1.1818181818181819
Vár a víz,survive is,6.4239999999999995,Var a v's,SZURVIVISZ!,1.0,1.0,1.5714285714285714,Várav. Szarav. Szarav. Szarav.,1.3333333333333333,2.4444444444444446,0.2857142857142857
Füstöl a fűrész,fish toll a officer,8.251,Foo stall a fuse,Fishtola officer.,1.0,0.7333333333333333,1.1666666666666667,"Fúsz-tól a fűsz. Szolatol a fióli... Füsz. Szolatol... fi-tol... Fi-tzup? Dúszt. Vúzzt. Vüz, túlősz. Zúóóóóúúúúúúúúú. Fejezés... ha szükséges, kapcsold be az angol feliratot!",7.333333333333333,10.8,0.6666666666666666
Gyúl a Gyertya,jail jeff each a,6.4465,You will a Geartia,Jail Jeff Itch.,1.0,0.8571428571428571,1.7777777777777777,"Csakszelen, hogy nyugodt értél? Nem! Nem! Nem! Nem! Nem! Nem! Nem! Nem! Nem! Nem! Nem! Nem! Nem! Feliratok az Amara.org közösségétől",7.0,8.785714285714286,2.6666666666666665
Ég a lámpa,a lamp a,6.687500000000002,Egg a lump a,A LÁMP!,0.6666666666666666,0.4,0.375,EGG a lamp.,0.6666666666666666,0.4,0.875
Csőből csöpög,believe oh po a,7.7715,Chub ball choo puck,Blivó pót!,1.0,0.8461538461538461,1.2,Csabb bal kúpak!,1.5,0.8461538461538461,1.3
Kő őrzi őzt,because east,5.72,Cur her zee host,Mert az összes...,1.0,1.3636363636363635,1.6666666666666667,Körhörzi host,1.0,0.6363636363636364,1.2222222222222223
