hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Egy nagy kertben,edge jack said ben,4.194999999999999,Edge notch care but,"Egy Jack-szed, Ben!",0.6666666666666666,0.625,0.5,egy nács kér bát.,1.0,0.5,0.9166666666666666
Őr űzi az ürgét,a easy is a a a to,12.12,You ruse he as urge it,egyszer a töld HAngelok Tánc miatka,1.5,1.9333333333333333,2.75,Euróziász örgötöt,1.0,0.6666666666666666,1.3333333333333333
Két bögre teát kér,act both et take a a,10.314,Kate bore great tea odd care,átgolfittéke.,1.0,0.7777777777777778,1.4666666666666666,Kékborgréptiad kér.,1.0,0.5555555555555556,1.0
A kórus a kocsma előtt áll,co push call mm l a a a a,14.013,A core us a coach my you loot all,"Kopus, kol, la, a, a.",1.0,0.7307692307692307,1.0,Akkor lesz a kocs milyen lúdol.,0.8333333333333334,0.6538461538461539,1.1666666666666667
Szép zöld fű,suppose old for a,5.284000000000001,Say pews old foo,SUPPOSE OLD 4,1.0,0.75,1.6666666666666667,Szép József!,0.6666666666666666,0.5,1.0
Sütőtökből sütit süt,shit to oh published it shit,9.799999999999999,Sue toke bowl stew T soot,Shit too or published at shit.,2.0,1.05,1.3333333333333333,"SZŰTOKBOLSZTUT, SZÜT.",1.0,0.55,0.9444444444444444
Hidd el itt írok,he l e york,5.04,Hide el eat E rock,Héli Jörg,1.0,0.75,1.0,Hide L.E.D. rock!,1.0,0.625,0.7272727272727273
Vár a víz,survive is,6.448,Var a vise,SZURVÁVISZ!,1.0,1.0,1.2857142857142858,VAR a VIZE,0.6666666666666666,0.3333333333333333,0.7142857142857143
Füstöl a fűrész,for shit oh life a a so,9.12,Foist all a furious,"Fössüt a lájfájára, szó!",1.0,1.0,1.25,Foist al a Furious!,1.0,0.6,1.25
Gyúl a Gyertya,jail age as each a,7.3580000000000005,Jewel a dirt yeah,Jél ég az ég.,1.3333333333333333,0.8571428571428571,1.5555555555555556,Csúl Adart ér.,1.0,0.7142857142857143,1.2222222222222223
Ég a lámpa,also map a,8.024000000000001,Egg a lump a,A,0.6666666666666666,0.9,0.875,EGG A LAMP,0.6666666666666666,0.4,0.875
Csőből csöpög,believe hope oh a,8.4,Cho bowl chop oak,Believe Hobo are!,1.5,1.2307692307692308,2.1,Csóbb ból csap ok.,2.0,0.7692307692307693,1.1
Kő őrzi őzt,because east,5.72,Cue you or see owe stew,mert az összes...,1.0,1.3636363636363635,1.6666666666666667,"Q, U, or C, O, S, 2 A kézben a két alapján a szavak számára változom. A két alapján a szavak számára változom. A két alapján a szavak számára változom. C, O, U, C, O, U, C, O, U,",13.0,15.545454545454545,5.0
